DATA;DIA_DA_SEMANA;FERIADO;TIPO_FERIADO;DETALHES
2014-08-09;Sábado;International Day of the World's Indigenous People;United Nations observance;
2014-08-10;Domingo;Raksha Bandhan;Hindu Holiday;
2014-08-12;Terça-feira;International Youth Day;United Nations observance;
2014-08-15;Sexta-feira;Assumption of Mary;Christian;
2014-08-16;Sábado;Janmashtami;Hindu Holiday;
2014-08-17;Domingo;National Senior Citizens Day;Observance;
2014-08-19;Terça-feira;World Humanitarian Day;United Nations observance;
2014-08-19;Terça-feira;National Aviation Day;Observance;
2014-08-23;Sábado;International Day for the Remembrance of the Slave Trade and its Abolition de 2014;United Nations observance;
2014-08-26;Terça-feira;Women's Equality Day;Observance;
2014-08-29;Sexta-feira;Ganesh Chaturthi;Hindu Holiday;
2014-08-29;Sexta-feira;International Day against Nuclear Tests;United Nations observance;
2014-08-30;Sábado;International Day of the Victims of Enforced Disappearances;United Nations observance;
2014-08-31;Domingo;International Overdose Awareness Day;Worldwide observance de 2014;
2014-09-01;Segunda-feira;Labor Day;Federal Holiday de 2014;
2014-09-04;Quinta-feira;World Sexual Health Day;Worldwide observance de 2014;
2014-09-05;Sexta-feira;International Day of Charity;United Nations observance;
2014-09-06;Sábado;Carl Garner Federal Lands Cleanup Day de 2014;Observance;
2014-09-07;Domingo;National Grandparents Day;Observance;
2014-09-08;Segunda-feira;International Literacy Day;United Nations observance;
2014-09-10;Quarta-feira;World Suicide Prevention Day de 2014;Worldwide observance de 2014;
2014-09-11;Quinta-feira;Patriot Day;Observance;
2014-09-12;Sexta-feira;International Day for South-South Cooperation;United Nations observance;
2014-09-13;Sábado;International Programmers' Day;Worldwide observance de 2014;
2014-09-15;Segunda-feira;International Day of Democracy;United Nations observance;
2014-09-15;Segunda-feira;First Day of National Hispanic Heritage Month;Annual Monthly Observance;
2014-09-16;Terça-feira;International Day for the Preservation of the Ozone Layer;United Nations observance;
2014-09-17;Quarta-feira;Constitution Day and Citizenship Day;Observance;
2014-09-18;Quinta-feira;Air Force Birthday;Observance;
2014-09-19;Sexta-feira;National POW/MIA Recognition Day;Observance;
2014-09-21;Domingo;International Day of Peace;United Nations observance;
2014-09-22;Segunda-feira;September Equinox;Season;
2014-09-23;Terça-feira;International Celebrate Bisexuality Day;Worldwide observance de 2014;
2014-09-24;Quarta-feira;Navratri;Hindu Holiday;
2014-09-25;Quinta-feira;Rosh Hashana;Jewish holiday;
2014-09-25;Quinta-feira;World Maritime Day;United Nations observance;
2014-09-26;Sexta-feira;International Day for the Total Elimination of Nuclear Weapons;United Nations observance;
2014-09-27;Sábado;World Tourism Day;United Nations observance;
2014-09-27;Sábado;National Public Lands Day;Observance;
2014-09-28;Domingo;World Rabies Day;Worldwide observance de 2014;
2014-09-28;Domingo;Gold Star Mother's Day;Observance;
2014-09-29;Segunda-feira;World Heart Day;Worldwide observance de 2014;
2014-10-01;Quarta-feira;International Day of Older Persons de 2014;United Nations observance;
2014-10-01;Quarta-feira;World Cerebral Palsy Day;Worldwide observance de 2014;
2014-10-01;Quarta-feira;World Vegetarian Day;Worldwide observance de 2014;
2014-10-02;Quinta-feira;International Day of Non-Violence;United Nations observance;
2014-10-03;Sexta-feira;Dussehra;Hindu Holiday;
2014-10-04;Sábado;Feast of St Francis of Assisi;Christian;
2014-10-04;Sábado;Yom Kippur;Jewish holiday;
2014-10-04;Sábado;Eid al-Adha;Muslim;
2014-10-05;Domingo;World Teachers' Day;United Nations observance;
2014-10-06;Segunda-feira;World Habitat Day;United Nations observance;
2014-10-06;Segunda-feira;German American Day;Observance;
2014-10-06;Segunda-feira;Child Health Day;Observance;
2014-10-08;Quarta-feira;International Day for Natural Disaster Reduction;United Nations observance;
2014-10-09;Quinta-feira;First Day of Sukkot;Jewish holiday;
2014-10-09;Quinta-feira;World Post Day;United Nations observance;
2014-10-09;Quinta-feira;World Sight Day;Worldwide observance de 2014;
2014-10-09;Quinta-feira;Leif Erikson Day;Observance;
2014-10-10;Sexta-feira;World Mental Health Day;United Nations observance;
2014-10-11;Sábado;International Day of the Girl Child;United Nations observance;
2014-10-12;Domingo;World Spanish Language Day;United Nations observance;
2014-10-12;Domingo;Chicago Marathon;Sporting event;
2014-10-13;Segunda-feira;Navy Birthday;Observance;
2014-10-13;Segunda-feira;Columbus Day;Federal Holiday de 2014;
2014-10-15;Quarta-feira;Last Day of Sukkot;Jewish holiday;
2014-10-15;Quarta-feira;International Day of Rural Women;United Nations observance;
2014-10-15;Quarta-feira;White Cane Safety Day;Observance;
2014-10-16;Quinta-feira;Shmini Atzeret;Jewish holiday;
2014-10-16;Quinta-feira;World Food Day;United Nations observance;
2014-10-16;Quinta-feira;Boss's Day;Observance;
2014-10-17;Sexta-feira;Simchat Torah;Jewish holiday;
2014-10-17;Sexta-feira;International Day for the Eradication of Poverty;United Nations observance;
2014-10-22;Quarta-feira;Diwali/Deepavali;Hindu Holiday;
2014-10-24;Sexta-feira;United Nations Day;United Nations observance;
2014-10-24;Sexta-feira;World Development Information Day;United Nations observance;
2014-10-25;Sábado;Muharram;Muslim;
2014-10-27;Segunda-feira;World Day for Audiovisual Heritage;United Nations observance;
2014-10-29;Quarta-feira;World Stroke Day;Worldwide observance de 2014;
2014-10-31;Sexta-feira;World Cities Day;United Nations observance;
2014-10-31;Sexta-feira;Halloween;Observance;
2014-11-01;Sábado;All Saints' Day;Christian;
2014-11-01;Sábado;World Vegan Day;Worldwide observance de 2014;
2014-11-01;Sábado;First Day of Native American Heritage Month;Annual Monthly Observance;
2014-11-02;Domingo;All Souls' Day;Christian;
2014-11-02;Domingo;International Day to End Impunity for Crimes against Journalists;United Nations observance;
2014-11-02;Domingo;New York City Marathon;Sporting event;
2014-11-02;Domingo;Daylight Saving Time ends;Clock change/Daylight Saving Time;
2014-11-03;Segunda-feira;Ashura;Muslim;
2014-11-04;Terça-feira;Election Day;Observance;
2014-11-06;Quinta-feira;International Day for Preventing the Exploitation of the Environment in War and Armed Conflict;United Nations observance;
2014-11-10;Segunda-feira;World Science Day for Peace and Development;United Nations observance;
2014-11-10;Segunda-feira;Marine Corps Birthday;Observance;
2014-11-11;Terça-feira;Veterans Day;Federal Holiday de 2014;
2014-11-12;Quarta-feira;World Pneumonia Day;Worldwide observance de 2014;
2014-11-14;Sexta-feira;World Diabetes Day;United Nations observance;
2014-11-16;Domingo;International Day for Tolerance;United Nations observance;
2014-11-16;Domingo;World Day of Remembrance for Road Traffic Victims;United Nations observance;
2014-11-17;Segunda-feira;World Prematurity Day;Worldwide observance de 2014;
2014-11-19;Quarta-feira;World Chronic Obstructive Pulmonary Disease Day;United Nations observance;
2014-11-19;Quarta-feira;World Toilet Day;United Nations observance;
2014-11-19;Quarta-feira;International Men's Day;Worldwide observance de 2014;
2014-11-20;Quinta-feira;Universal Children's Day;United Nations observance;
2014-11-20;Quinta-feira;Africa Industrialization Day;United Nations observance;
2014-11-20;Quinta-feira;World Philosophy Day;United Nations observance;
2014-11-21;Sexta-feira;World Television Day;United Nations observance;
2014-11-25;Terça-feira;International Day for the Elimination of Violence against Women;United Nations observance;
