DATA;DIA_DA_SEMANA;FERIADO;TIPO_FERIADO;DETALHES
2016-06-12;Domingo;Shavuot;Jewish holiday;
2016-06-12;Domingo;World Day Against Child Labour;United Nations observance;
2016-06-12;Domingo;Loving Day;Observance;
2016-06-13;Segunda-feira;International Albinism Awareness Day;United Nations observance;
2016-06-14;Terça-feira;World Blood Donor Day;United Nations observance;
2016-06-14;Terça-feira;Army Birthday;Observance;
2016-06-14;Terça-feira;Flag Day;Observance;
2016-06-15;Quarta-feira;World Elder Abuse Awareness Day de 2016;United Nations observance;
2016-06-16;Quinta-feira;International Day of Family Remittances;United Nations observance;
2016-06-17;Sexta-feira;World Day to Combat Desertification and Drought;United Nations observance;
2016-06-19;Domingo;International Day for the Elimination of Sexual Violence in Conflict;United Nations observance;
2016-06-19;Domingo;Father's Day;Observance;
2016-06-19;Domingo;Juneteenth;Observance;
2016-06-20;Segunda-feira;World Refugee Day;United Nations observance;
2016-06-20;Segunda-feira;American Eagle Day;Observance;
2016-06-20;Segunda-feira;June Solstice;Season;
2016-06-21;Terça-feira;International Day of Yoga;United Nations observance;
2016-06-23;Quinta-feira;Public Service Day;United Nations observance;
2016-06-23;Quinta-feira;International Widows' Day;United Nations observance;
2016-06-25;Sábado;Day of the Seafarer;United Nations observance;
2016-06-26;Domingo;International Day Against Drug Abuse and Illicit Trafficking;United Nations observance;
2016-06-26;Domingo;International Day in Support of Victims of Torture;United Nations observance;
2016-06-29;Quarta-feira;International Day of the Tropics;United Nations observance;
2016-07-02;Sábado;Lailat al-Qadr;Muslim;
2016-07-02;Sábado;International Day of Cooperatives;United Nations observance;
2016-07-04;Segunda-feira;Independence Day de 2016;Federal Holiday de 2016;
2016-07-06;Quarta-feira;Eid al-Fitr;Muslim;
2016-07-11;Segunda-feira;World Population Day;United Nations observance;
2016-07-14;Quinta-feira;Bastille Day;Observance;
2016-07-15;Sexta-feira;World Youth Skills Day;United Nations observance;
2016-07-18;Segunda-feira;Nelson Mandela Day de 2016;United Nations observance;
2016-07-24;Domingo;Parents' Day;Observance;
2016-07-27;Quarta-feira;National Korean War Veterans Armistice Day;Observance;
2016-07-28;Quinta-feira;World Hepatitis Day;United Nations observance;
2016-07-30;Sábado;International Day of Friendship;United Nations observance;
2016-07-30;Sábado;World Day against Trafficking in Persons;United Nations observance;
2016-08-04;Quinta-feira;Coast Guard Birthday;Observance;
2016-08-07;Domingo;Purple Heart Day;Observance;
2016-08-09;Terça-feira;International Day of the World's Indigenous People;United Nations observance;
2016-08-12;Sexta-feira;International Youth Day;United Nations observance;
2016-08-14;Domingo;Tisha B'Av;Jewish holiday;
2016-08-15;Segunda-feira;Assumption of Mary;Christian;
2016-08-17;Quarta-feira;Raksha Bandhan;Hindu Holiday;
2016-08-19;Sexta-feira;World Humanitarian Day;United Nations observance;
2016-08-19;Sexta-feira;National Aviation Day;Observance;
2016-08-21;Domingo;National Senior Citizens Day;Observance;
2016-08-23;Terça-feira;International Day for the Remembrance of the Slave Trade and its Abolition de 2016;United Nations observance;
2016-08-25;Quinta-feira;Janmashtami;Hindu Holiday;
2016-08-26;Sexta-feira;Women's Equality Day;Observance;
2016-08-29;Segunda-feira;International Day against Nuclear Tests;United Nations observance;
2016-08-30;Terça-feira;International Day of the Victims of Enforced Disappearances;United Nations observance;
2016-08-31;Quarta-feira;International Overdose Awareness Day;Worldwide observance de 2016;
2016-09-04;Domingo;Ganesh Chaturthi;Hindu Holiday;
2016-09-04;Domingo;World Sexual Health Day;Worldwide observance de 2016;
2016-09-05;Segunda-feira;International Day of Charity;United Nations observance;
2016-09-05;Segunda-feira;Labor Day;Federal Holiday de 2016;
2016-09-08;Quinta-feira;International Literacy Day;United Nations observance;
2016-09-10;Sábado;World Suicide Prevention Day de 2016;Worldwide observance de 2016;
2016-09-10;Sábado;Carl Garner Federal Lands Cleanup Day de 2016;Observance;
2016-09-11;Domingo;Patriot Day;Observance;
2016-09-11;Domingo;National Grandparents Day;Observance;
2016-09-12;Segunda-feira;International Day for South-South Cooperation;United Nations observance;
2016-09-12;Segunda-feira;International Programmers' Day;Worldwide observance de 2016;
2016-09-13;Terça-feira;Eid al-Adha;Muslim;
2016-09-15;Quinta-feira;International Day of Democracy;United Nations observance;
2016-09-15;Quinta-feira;First Day of National Hispanic Heritage Month;Annual Monthly Observance;
2016-09-16;Sexta-feira;International Day for the Preservation of the Ozone Layer;United Nations observance;
2016-09-16;Sexta-feira;Constitution Day and Citizenship Day observed;Observance;
2016-09-16;Sexta-feira;National POW/MIA Recognition Day;Observance;
2016-09-17;Sábado;Constitution Day and Citizenship Day;Observance;
2016-09-18;Domingo;Air Force Birthday;Observance;
2016-09-21;Quarta-feira;International Day of Peace;United Nations observance;
2016-09-22;Quinta-feira;September Equinox;Season;
2016-09-23;Sexta-feira;International Celebrate Bisexuality Day;Worldwide observance de 2016;
2016-09-24;Sábado;National Public Lands Day;Observance;
2016-09-25;Domingo;Gold Star Mother's Day;Observance;
2016-09-26;Segunda-feira;International Day for the Total Elimination of Nuclear Weapons;United Nations observance;
2016-09-27;Terça-feira;World Tourism Day;United Nations observance;
2016-09-28;Quarta-feira;World Rabies Day;Worldwide observance de 2016;
2016-09-29;Quinta-feira;World Maritime Day;United Nations observance;
2016-09-29;Quinta-feira;World Heart Day;Worldwide observance de 2016;
2016-10-01;Sábado;Navratri;Hindu Holiday;
2016-10-01;Sábado;International Day of Older Persons de 2016;United Nations observance;
2016-10-01;Sábado;World Vegetarian Day;Worldwide observance de 2016;
2016-10-02;Domingo;International Day of Non-Violence;United Nations observance;
2016-10-03;Segunda-feira;Rosh Hashana;Jewish holiday;
2016-10-03;Segunda-feira;Muharram;Muslim;
2016-10-03;Segunda-feira;World Habitat Day;United Nations observance;
2016-10-03;Segunda-feira;Child Health Day;Observance;
2016-10-04;Terça-feira;Feast of St Francis of Assisi;Christian;
2016-10-05;Quarta-feira;World Teachers' Day;United Nations observance;
2016-10-05;Quarta-feira;World Cerebral Palsy Day;Worldwide observance de 2016;
2016-10-06;Quinta-feira;German American Day;Observance;
2016-10-09;Domingo;World Post Day;United Nations observance;
2016-10-09;Domingo;Leif Erikson Day;Observance;
2016-10-09;Domingo;Chicago Marathon;Sporting event;
2016-10-10;Segunda-feira;Dussehra;Hindu Holiday;
2016-10-10;Segunda-feira;World Mental Health Day;United Nations observance;
2016-10-10;Segunda-feira;Columbus Day;Federal Holiday de 2016;
2016-10-11;Terça-feira;International Day of the Girl Child;United Nations observance;
2016-10-12;Quarta-feira;Yom Kippur;Jewish holiday;
2016-10-12;Quarta-feira;Ashura;Muslim;
2016-10-12;Quarta-feira;International Day for Natural Disaster Reduction;United Nations observance;
2016-10-12;Quarta-feira;World Spanish Language Day;United Nations observance;
2016-10-13;Quinta-feira;World Sight Day;Worldwide observance de 2016;
2016-10-13;Quinta-feira;Navy Birthday;Observance;
2016-10-15;Sábado;International Day of Rural Women;United Nations observance;
2016-10-15;Sábado;White Cane Safety Day;Observance;
2016-10-16;Domingo;World Food Day;United Nations observance;
2016-10-17;Segunda-feira;First Day of Sukkot;Jewish holiday;
2016-10-17;Segunda-feira;International Day for the Eradication of Poverty;United Nations observance;
2016-10-17;Segunda-feira;Boss's Day;Observance;
2016-10-23;Domingo;Last Day of Sukkot;Jewish holiday;
2016-10-24;Segunda-feira;Shmini Atzeret;Jewish holiday;
2016-10-24;Segunda-feira;United Nations Day;United Nations observance;
2016-10-24;Segunda-feira;World Development Information Day;United Nations observance;
2016-10-25;Terça-feira;Simchat Torah;Jewish holiday;
2016-10-27;Quinta-feira;World Day for Audiovisual Heritage;United Nations observance;
2016-10-29;Sábado;Diwali/Deepavali;Hindu Holiday;
2016-10-29;Sábado;World Stroke Day;Worldwide observance de 2016;
2016-10-31;Segunda-feira;World Cities Day;United Nations observance;
2016-10-31;Segunda-feira;Halloween;Observance;
2016-11-01;Terça-feira;All Saints' Day;Christian;
2016-11-01;Terça-feira;World Vegan Day;Worldwide observance de 2016;
2016-11-01;Terça-feira;First Day of Native American Heritage Month;Annual Monthly Observance;
2016-11-02;Quarta-feira;All Souls' Day;Christian;
2016-11-02;Quarta-feira;International Day to End Impunity for Crimes against Journalists;United Nations observance;
2016-11-05;Sábado;World Tsunami Awareness Day;United Nations observance;
2016-11-06;Domingo;International Day for Preventing the Exploitation of the Environment in War and Armed Conflict;United Nations observance;
2016-11-06;Domingo;New York City Marathon;Sporting event;
2016-11-06;Domingo;Daylight Saving Time ends;Clock change/Daylight Saving Time;
2016-11-08;Terça-feira;Election Day (General Election);Observance;
2016-11-10;Quinta-feira;World Science Day for Peace and Development;United Nations observance;
2016-11-10;Quinta-feira;Marine Corps Birthday;Observance;
2016-11-11;Sexta-feira;Veterans Day;Federal Holiday de 2016;
2016-11-12;Sábado;World Pneumonia Day;Worldwide observance de 2016;
2016-11-14;Segunda-feira;World Diabetes Day;United Nations observance;
2016-11-16;Quarta-feira;International Day for Tolerance;United Nations observance;
2016-11-17;Quinta-feira;World Philosophy Day;United Nations observance;
2016-11-17;Quinta-feira;World Prematurity Day;Worldwide observance de 2016;
2016-11-19;Sábado;World Toilet Day;United Nations observance;
2016-11-19;Sábado;International Men's Day;Worldwide observance de 2016;
2016-11-20;Domingo;World Day of Remembrance for Road Traffic Victims;United Nations observance;
2016-11-20;Domingo;Universal Children's Day;United Nations observance;
2016-11-20;Domingo;Africa Industrialization Day;United Nations observance;
2016-11-21;Segunda-feira;World Television Day;United Nations observance;
2016-11-24;Quinta-feira;Thanksgiving Day;Federal Holiday de 2016;
2016-11-25;Sexta-feira;International Day for the Elimination of Violence against Women;United Nations observance;
2016-11-25;Sexta-feira;Black Friday;Observance;
2016-11-25;Sexta-feira;Native American Heritage Day;Observance;
2016-11-27;Domingo;First Sunday of Advent;Christian;
2016-11-28;Segunda-feira;Cyber Monday;Observance;
2016-11-29;Terça-feira;International Day of Solidarity with the Palestinian People;United Nations observance;
2016-11-29;Terça-feira;Giving Tuesday;Observance;
2016-11-30;Quarta-feira;Day of Remembrance for all Victims of Chemical Warfare;United Nations observance;
2016-12-01;Quinta-feira;World AIDS Day;United Nations observance;
2016-12-02;Sexta-feira;International Day for the Abolition of Slavery;United Nations observance;
2016-12-03;Sábado;International Day of Persons with Disabilities;United Nations observance;
2016-12-05;Segunda-feira;International Volunteer Day for Economic and Social Development;United Nations observance;
2016-12-05;Segunda-feira;World Soil Day;United Nations observance;
2016-12-06;Terça-feira;St Nicholas Day;Observance;
2016-12-07;Quarta-feira;International Civil Aviation Day;United Nations observance;
2016-12-07;Quarta-feira;Pearl Harbor Remembrance Day;Observance;
2016-12-08;Quinta-feira;Feast of the Immaculate Conception;Christian;
2016-12-09;Sexta-feira;International Anti-Corruption Day;United Nations observance;
2016-12-09;Sexta-feira;World Genocide Commemoration Day de 2016;United Nations observance;
2016-12-10;Sábado;Human Rights Day;United Nations observance;
2016-12-11;Domingo;International Mountain Day;United Nations observance;
2016-12-12;Segunda-feira;The Prophet's Birthday;Muslim;
2016-12-12;Segunda-feira;Feast of Our Lady of Guadalupe;Christian;
2016-12-13;Terça-feira;National Guard Birthday;Observance;
2016-12-15;Quinta-feira;Bill of Rights Day;Observance;
2016-12-17;Sábado;Pan American Aviation Day;Observance;
2016-12-17;Sábado;Wright Brothers Day;Observance;
2016-12-18;Domingo;International Migrants Day;United Nations observance;
2016-12-18;Domingo;Arabic Language Day;United Nations observance;
2016-12-20;Terça-feira;International Human Solidarity Day;United Nations observance;
2016-12-21;Quarta-feira;December Solstice;Season;
2016-12-24;Sábado;Christmas Eve;Observance, Christian;
2016-12-25;Domingo;Chanukah/Hanukkah (first day);Jewish holiday;
2016-12-25;Domingo;Christmas Day;Federal Holiday de 2016;
2016-12-26;Segunda-feira;Kwanzaa (first day);Observance;
2016-12-26;Segunda-feira;Christmas Day (substitute);Federal Holiday de 2016;
2016-12-31;Sábado;New Year's Eve;Observance;
2017-01-01;Domingo;Last Day of Chanukah;Jewish holiday;
2017-01-01;Domingo;New Year's Day;Federal Holiday de 2017;
2017-01-02;Segunda-feira;New Year's Day (substitute);Federal Holiday de 2017;
2017-01-04;Quarta-feira;World Braille Day;Worldwide observance de 2017;
2017-01-06;Sexta-feira;Epiphany;Christian;
2017-01-07;Sábado;Orthodox Christmas Day;Orthodox;
2017-01-07;Sábado;International Programmers' Day;Worldwide observance de 2017;
2017-01-08;Domingo;Asarah B'Tevet;Jewish holiday;
2017-01-13;Sexta-feira;Friday the 13th;Worldwide observance de 2017;
2017-01-13;Sexta-feira;Stephen Foster Memorial Day;Observance;
2017-01-14;Sábado;Orthodox New Year;Orthodox;
2017-01-15;Domingo;World Religion Day;Worldwide observance de 2017;
2017-01-16;Segunda-feira;Martin Luther King Jr. Day;Federal Holiday de 2017;
2017-01-26;Quinta-feira;International Customs Day;Worldwide observance de 2017;
2017-01-27;Sexta-feira;International Day of Commemoration in Memory of the Victims of the Holocaust;United Nations observance;
2017-01-28;Sábado;Lunar New Year;Observance;
2017-01-29;Domingo;World Leprosy Day;Worldwide observance de 2017;
2017-02-01;Quarta-feira;National Freedom Day;Observance;
2017-02-01;Quarta-feira;National Girls and Women in Sports Day;Observance;
2017-02-01;Quarta-feira;First Day of Black History Month;Annual Monthly Observance;
2017-02-02;Quinta-feira;World Wetlands Day;Worldwide observance de 2017;
2017-02-02;Quinta-feira;Groundhog Day;Observance;
2017-02-03;Sexta-feira;National Wear Red Day;Observance;
2017-02-04;Sábado;World Cancer Day;Worldwide observance de 2017;
2017-02-05;Domingo;Super Bowl;Sporting event;
2017-02-06;Segunda-feira;International Day of Zero Tolerance for Female Genital Mutilation;United Nations observance;
2017-02-11;Sábado;Tu Bishvat/Tu B'Shevat;Jewish holiday;
2017-02-11;Sábado;International Day of Women and Girls in Science;United Nations observance;
2017-02-11;Sábado;World Day of the Sick;Worldwide observance de 2017;
2017-02-13;Segunda-feira;World Radio Day;United Nations observance;
2017-02-14;Terça-feira;Valentine's Day;Observance;
2017-02-20;Segunda-feira;World Day of Social Justice;United Nations observance;
2017-02-20;Segunda-feira;Presidents' Day de 2017;Federal Holiday de 2017;
2017-02-21;Terça-feira;International Mother Language Day;United Nations observance;
2017-02-24;Sexta-feira;Maha Shivaratri;Hindu Holiday;
2017-02-28;Terça-feira;Shrove Tuesday/Mardi Gras;Observance, Christian;
2017-03-01;Quarta-feira;Ash Wednesday;Christian;
2017-03-01;Quarta-feira;Zero Discrimination Day;United Nations observance;
2017-03-01;Quarta-feira;Self-Injury Awareness Day;Worldwide observance de 2017;
2017-03-01;Quarta-feira;St. David's Day;Observance, Christian;
2017-03-01;Quarta-feira;First Day of Women's History Month;Annual Monthly Observance;
2017-03-01;Quarta-feira;First Day of Irish American Heritage Month;Annual Monthly Observance;
2017-03-02;Quinta-feira;Read Across America Day;Observance;
2017-03-03;Sexta-feira;World Wildlife Day;United Nations observance;
2017-03-03;Sexta-feira;Employee Appreciation Day;Observance;
2017-03-08;Quarta-feira;International Women's Day;United Nations observance;
2017-03-09;Quinta-feira;World Kidney Day;Worldwide observance de 2017;
2017-03-12;Domingo;Holi;Hindu Holiday;
2017-03-12;Domingo;Purim;Jewish holiday;
2017-03-12;Domingo;Daylight Saving Time starts;Clock change/Daylight Saving Time;
2017-03-17;Sexta-feira;St. Patrick's Day;Observance, Christian;
2017-03-20;Segunda-feira;French Language Day;United Nations observance;
2017-03-20;Segunda-feira;International Day of Happiness;United Nations observance;
2017-03-20;Segunda-feira;March Equinox;Season;
2017-03-21;Terça-feira;International Day for the Elimination of Racial Discrimination;United Nations observance;
2017-03-21;Terça-feira;World Poetry Day;United Nations observance;
2017-03-21;Terça-feira;International Day of Nowruz;United Nations observance;
2017-03-21;Terça-feira;World Down Syndrome Day;United Nations observance;
2017-03-21;Terça-feira;International Day of Forests;United Nations observance;
2017-03-22;Quarta-feira;World Water Day;United Nations observance;
2017-03-23;Quinta-feira;World Meteorological Day;United Nations observance;
2017-03-24;Sexta-feira;World Tuberculosis Day;United Nations observance;
2017-03-24;Sexta-feira;International Day for the Right to the Truth concerning Gross Human Rights Violations and for the Dignity of Victims;United Nations observance;
2017-03-25;Sábado;International Day of Remembrance of Slavery Victims and the Transatlantic Slave Trade de 2017;United Nations observance;
2017-03-25;Sábado;International Day of Solidarity with Detained and Missing Staff Members;United Nations observance;
2017-03-25;Sábado;Earth Hour;Worldwide observance de 2017;
2017-03-29;Quarta-feira;National Vietnam War Veterans Day;Observance;
2017-03-30;Quinta-feira;Doctors' Day;Observance;
2017-04-01;Sábado;April Fool's Day;Worldwide observance de 2017;
2017-04-02;Domingo;World Autism Awareness Day;United Nations observance;
2017-04-04;Terça-feira;United Nations' Mine Awareness Day;United Nations observance;
2017-04-06;Quinta-feira;International Day of Sport for Development and Peace;United Nations observance;
2017-04-06;Quinta-feira;National Tartan Day;Observance;
2017-04-07;Sexta-feira;United Nations' World Health Day;United Nations observance;
2017-04-07;Sexta-feira;Day of Remembrance of the Victims of the Rwanda Genocide de 2017;United Nations observance;
2017-04-09;Domingo;Palm Sunday;Christian;
2017-04-10;Segunda-feira;Passover Eve;Jewish holiday;
2017-04-11;Terça-feira;Passover (first day);Jewish holiday;
2017-04-11;Terça-feira;National Library Workers' Day;Observance;
2017-04-12;Quarta-feira;International Day of Human Space Flight;United Nations observance;
2017-04-13;Quinta-feira;Maundy Thursday;Christian;
2017-04-13;Quinta-feira;Thomas Jefferson's Birthday;Observance;
2017-04-14;Sexta-feira;Orthodox Good Friday;Orthodox;
2017-04-15;Sábado;Holy Saturday;Christian;
2017-04-15;Sábado;Orthodox Holy Saturday;Orthodox;
2017-04-16;Domingo;Orthodox Easter;Orthodox;
2017-04-16;Domingo;Easter Sunday;Observance, Christian;
2017-04-17;Segunda-feira;Orthodox Easter Monday;Orthodox;
2017-04-17;Segunda-feira;Easter Monday;Observance, Christian;
2017-04-17;Segunda-feira;Boston Marathon;Sporting event;
2017-04-18;Terça-feira;Last Day of Passover;Jewish holiday;
2017-04-18;Terça-feira;International Day for Monuments and Sites;Worldwide observance de 2017;
2017-04-18;Terça-feira;Tax Day;Observance;
2017-04-20;Quinta-feira;Chinese Language Day;United Nations observance;
2017-04-21;Sexta-feira;Global Youth Service Day;Worldwide observance de 2017;
2017-04-22;Sábado;Earth Day;United Nations observance;
2017-04-23;Domingo;World Book and Copyright Day;United Nations observance;
2017-04-23;Domingo;English Language Day;United Nations observance;
2017-04-24;Segunda-feira;Yom HaShoah;Jewish commemoration;
2017-04-24;Segunda-feira;Isra and Mi'raj;Muslim;
2017-04-25;Terça-feira;World Malaria Day;United Nations observance;
2017-04-26;Quarta-feira;World Intellectual Property Day;United Nations observance;
2017-04-26;Quarta-feira;International Chernobyl Disaster Remembrance Day;United Nations observance;
2017-04-26;Quarta-feira;Administrative Professionals Day;Observance;
2017-04-27;Quinta-feira;International Girls in ICT Day;United Nations observance;
2017-04-27;Quinta-feira;Take our Daughters and Sons to Work Day;Observance;
2017-04-28;Sexta-feira;World Day for Safety and Health at Work;United Nations observance;
2017-04-30;Domingo;International Jazz Day;United Nations observance;
2017-05-01;Segunda-feira;Law Day;Observance;
2017-05-01;Segunda-feira;Loyalty Day;Observance;
2017-05-01;Segunda-feira;First Day of Military Appreciation Month;Annual Monthly Observance;
2017-05-01;Segunda-feira;First Day of Asian Pacific American Heritage Month;Annual Monthly Observance;
2017-05-01;Segunda-feira;First Day of Jewish American Heritage Month;Annual Monthly Observance;
2017-05-02;Terça-feira;Yom Ha'atzmaut;Jewish holiday;
2017-05-02;Terça-feira;World Tuna Day;United Nations observance;
2017-05-02;Terça-feira;National Teacher Appreciation Day;Observance;
2017-05-03;Quarta-feira;World Press Freedom Day;United Nations observance;
2017-05-04;Quinta-feira;National Day of Prayer;Observance;
2017-05-05;Sexta-feira;Cinco de Mayo de 2017;Observance;
2017-05-05;Sexta-feira;Kentucky Oaks;Sporting event;
2017-05-06;Sábado;Kentucky Derby;Sporting event;
2017-05-06;Sábado;National Nurses Day;Observance;
2017-05-06;Sábado;National Explosive Ordnance Disposal (EOD) Day;Observance;
2017-05-07;Domingo;International Family Equality Day;Worldwide observance de 2017;
2017-05-08;Segunda-feira;Time of Remembrance and Reconciliation for Those Who Lost Their Lives during the Second World War;United Nations observance;
2017-05-08;Segunda-feira;World Ovarian Cancer Day;Worldwide observance de 2017;
2017-05-08;Segunda-feira;World Red Cross and Red Crescent Day;Worldwide observance de 2017;
2017-05-08;Segunda-feira;Victory in Europe Day;Observance;
2017-05-10;Quarta-feira;Day of Vesak;United Nations observance;
2017-05-12;Sexta-feira;International Nurses Day;Worldwide observance de 2017;
2017-05-12;Sexta-feira;Military Spouse Appreciation Day;Observance;
2017-05-13;Sábado;World Migratory Bird Day;United Nations observance;
2017-05-14;Domingo;Lag BaOmer;Jewish holiday;
2017-05-14;Domingo;Mother's Day;Observance;
2017-05-15;Segunda-feira;International Day of Families;United Nations observance;
2017-05-15;Segunda-feira;Peace Officers Memorial Day;Observance;
2017-05-17;Quarta-feira;World Information Society Day;United Nations observance;
2017-05-19;Sexta-feira;National Defense Transportation Day;Observance;
2017-05-20;Sábado;World Autoimmune Arthritis Day;Worldwide observance de 2017;
2017-05-20;Sábado;Armed Forces Day;Observance;
2017-05-20;Sábado;Preakness Stakes;Sporting event;
2017-05-21;Domingo;World Day for Cultural Diversity for Dialogue and Development;United Nations observance;
2017-05-22;Segunda-feira;International Day for Biological Diversity;United Nations observance;
2017-05-22;Segunda-feira;National Maritime Day;Observance;
2017-05-23;Terça-feira;International Day to End Obstetric Fistula;United Nations observance;
2017-05-24;Quarta-feira;Emergency Medical Services for Children Day;Observance;
2017-05-25;Quinta-feira;Ascension Day;Christian;
2017-05-25;Quinta-feira;African Liberation Day;Worldwide observance de 2017;
2017-05-25;Quinta-feira;National Missing Children's Day;Observance;
2017-05-27;Sábado;Ramadan Starts;Muslim;
2017-05-29;Segunda-feira;International Day of United Nations Peacekeepers;United Nations observance;
2017-05-29;Segunda-feira;Memorial Day;Federal Holiday de 2017;
2017-05-31;Quarta-feira;Shavuot;Jewish holiday;
2017-05-31;Quarta-feira;World No Tobacco Day;United Nations observance;
2017-06-01;Quinta-feira;Global Day of Parents;United Nations observance;
2017-06-01;Quinta-feira;First Day of Pride Month de 2017;Annual Monthly Observance;
2017-06-01;Quinta-feira;First Day of Caribbean-American Heritage Month;Annual Monthly Observance;
2017-06-04;Domingo;Pentecost;Christian;
2017-06-04;Domingo;International Day of Innocent Children Victims of Aggression;United Nations observance;
2017-06-05;Segunda-feira;Whit Monday;Christian;
2017-06-05;Segunda-feira;World Environment Day;United Nations observance;
2017-06-06;Terça-feira;Day of the Russian Language;United Nations observance;
2017-06-06;Terça-feira;D-Day;Observance;
2017-06-08;Quinta-feira;World Oceans Day;United Nations observance;
2017-06-10;Sábado;Belmont Stakes;Sporting event;
2017-06-11;Domingo;Trinity Sunday;Christian;
2017-06-12;Segunda-feira;World Day Against Child Labour;United Nations observance;
2017-06-12;Segunda-feira;Loving Day;Observance;
2017-06-13;Terça-feira;International Albinism Awareness Day;United Nations observance;
2017-06-14;Quarta-feira;World Blood Donor Day;United Nations observance;
2017-06-14;Quarta-feira;Army Birthday;Observance;
2017-06-14;Quarta-feira;Flag Day;Observance;
2017-06-15;Quinta-feira;Corpus Christi;Christian;
2017-06-15;Quinta-feira;World Elder Abuse Awareness Day de 2017;United Nations observance;
2017-06-16;Sexta-feira;International Day of Family Remittances;United Nations observance;
2017-06-17;Sábado;World Day to Combat Desertification and Drought;United Nations observance;
2017-06-18;Domingo;Sustainable Gastronomy Day;United Nations observance;
2017-06-18;Domingo;Father's Day;Observance;
2017-06-19;Segunda-feira;International Day for the Elimination of Sexual Violence in Conflict;United Nations observance;
2017-06-19;Segunda-feira;Juneteenth;Observance;
2017-06-20;Terça-feira;World Refugee Day;United Nations observance;
2017-06-20;Terça-feira;American Eagle Day;Observance;
2017-06-21;Quarta-feira;Lailat al-Qadr;Muslim;
2017-06-21;Quarta-feira;International Day of Yoga;United Nations observance;
2017-06-21;Quarta-feira;June Solstice;Season;
2017-06-23;Sexta-feira;Public Service Day;United Nations observance;
2017-06-23;Sexta-feira;International Widows' Day;United Nations observance;
2017-06-25;Domingo;Day of the Seafarer;United Nations observance;
2017-06-26;Segunda-feira;International Day Against Drug Abuse and Illicit Trafficking;United Nations observance;
2017-06-26;Segunda-feira;International Day in Support of Victims of Torture;United Nations observance;
2017-06-27;Terça-feira;Micro-, Small and Medium-sized Enterprises Day;United Nations observance;
2017-06-29;Quinta-feira;International Day of the Tropics;United Nations observance;
2017-06-30;Sexta-feira;International Asteroid Day;United Nations observance;
2017-07-01;Sábado;International Day of Cooperatives;United Nations observance;
2017-07-04;Terça-feira;Independence Day de 2017;Federal Holiday de 2017;
2017-07-11;Terça-feira;World Population Day;United Nations observance;
2017-07-14;Sexta-feira;Bastille Day;Observance;
2017-07-15;Sábado;World Youth Skills Day;United Nations observance;
2017-07-18;Terça-feira;Nelson Mandela Day de 2017;United Nations observance;
2017-07-23;Domingo;Parents' Day;Observance;
2017-07-27;Quinta-feira;National Korean War Veterans Armistice Day;Observance;
2017-07-28;Sexta-feira;World Hepatitis Day;United Nations observance;
2017-07-30;Domingo;International Day of Friendship;United Nations observance;
2017-07-30;Domingo;World Day against Trafficking in Persons;United Nations observance;
2017-08-01;Terça-feira;Tisha B'Av;Jewish holiday;
2017-08-04;Sexta-feira;Coast Guard Birthday;Observance;
2017-08-07;Segunda-feira;Raksha Bandhan;Hindu Holiday;
2017-08-07;Segunda-feira;Purple Heart Day;Observance;
2017-08-09;Quarta-feira;International Day of the World's Indigenous People;United Nations observance;
2017-08-12;Sábado;International Youth Day;United Nations observance;
2017-08-14;Segunda-feira;Janmashtami;Hindu Holiday;
2017-08-15;Terça-feira;Assumption of Mary;Christian;
2017-08-19;Sábado;World Humanitarian Day;United Nations observance;
2017-08-19;Sábado;National Aviation Day;Observance;
2017-08-20;Domingo;National Senior Citizens Day;Observance;
2017-08-23;Quarta-feira;International Day for the Remembrance of the Slave Trade and its Abolition de 2017;United Nations observance;
2017-08-24;Quinta-feira;Ganesh Chaturthi;Hindu Holiday;
2017-08-26;Sábado;Women's Equality Day;Observance;
2017-08-29;Terça-feira;International Day against Nuclear Tests;United Nations observance;
2017-08-30;Quarta-feira;International Day of the Victims of Enforced Disappearances;United Nations observance;
2017-08-31;Quinta-feira;International Overdose Awareness Day;Worldwide observance de 2017;
2017-09-02;Sábado;Eid al-Adha;Muslim;
2017-09-04;Segunda-feira;World Sexual Health Day;Worldwide observance de 2017;
2017-09-04;Segunda-feira;Labor Day;Federal Holiday de 2017;
2017-09-05;Terça-feira;International Day of Charity;United Nations observance;
2017-09-07;Quinta-feira;Still's Disease Awareness Day;Worldwide observance de 2017;
2017-09-08;Sexta-feira;International Literacy Day;United Nations observance;
2017-09-09;Sábado;Carl Garner Federal Lands Cleanup Day de 2017;Observance;
2017-09-10;Domingo;World Suicide Prevention Day de 2017;Worldwide observance de 2017;
2017-09-10;Domingo;National Grandparents Day;Observance;
2017-09-11;Segunda-feira;Patriot Day;Observance;
2017-09-12;Terça-feira;International Day for South-South Cooperation;United Nations observance;
2017-09-13;Quarta-feira;International Programmers' Day;Worldwide observance de 2017;
2017-09-15;Sexta-feira;International Day of Democracy;United Nations observance;
2017-09-15;Sexta-feira;First Day of National Hispanic Heritage Month;Annual Monthly Observance;
2017-09-15;Sexta-feira;National POW/MIA Recognition Day;Observance;
2017-09-16;Sábado;International Day for the Preservation of the Ozone Layer;United Nations observance;
2017-09-16;Sábado;National CleanUp Day;Observance;
2017-09-17;Domingo;Constitution Day and Citizenship Day;Observance;
2017-09-18;Segunda-feira;Air Force Birthday;Observance;
